time,rpm
20.000000,60.610000
25.000000,84.850000
30.000000,90.910000
35.000000,109.090000
40.000000,115.150000
45.000000,127.270000
50.000000,133.330000
55.000000,139.390000
60.000000,151.520000
65.000000,151.520000
70.000000,157.580000
75.000000,169.700000
80.000000,163.640000
85.000000,175.760000
90.000000,169.700000
95.000000,181.820000
100.000000,181.820000
105.000000,181.820000
110.000000,187.880000
115.000000,187.880000
120.000000,187.880000
125.000000,193.940000
130.000000,193.940000
135.000000,193.940000
140.000000,200.000000
145.000000,193.940000
150.000000,200.000000
155.000000,200.000000
160.000000,206.060000
165.000000,206.060000
170.000000,200.000000
175.000000,206.060000
180.000000,206.060000
185.000000,206.060000
190.000000,212.120000
195.000000,206.060000
200.000000,206.060000
205.000000,212.120000
210.000000,212.120000
215.000000,206.060000
220.000000,212.120000
225.000000,212.120000
230.000000,212.120000
235.000000,212.120000
240.000000,218.180000
245.000000,212.120000
250.000000,212.120000
255.000000,212.120000
260.000000,218.180000
265.000000,212.120000
270.000000,218.180000
275.000000,212.120000
280.000000,218.180000
285.000000,212.120000
290.000000,218.180000
295.000000,218.180000
300.000000,212.120000
305.000000,218.180000
310.000000,218.180000
315.000000,218.180000
320.000000,212.120000
325.000000,218.180000
330.000000,218.180000
335.000000,218.180000
340.000000,218.180000
345.000000,218.180000
350.000000,218.180000
355.000000,218.180000
360.000000,218.180000
365.000000,218.180000
370.000000,218.180000
375.000000,218.180000
380.000000,218.180000
385.000000,218.180000
390.000000,218.180000
395.000000,218.180000
400.000000,218.180000
405.000000,218.180000
410.000000,224.240000
415.000000,218.180000
420.000000,218.180000
425.000000,218.180000
430.000000,218.180000
435.000000,224.240000
440.000000,218.180000
445.000000,218.180000
450.000000,218.180000
455.000000,218.180000
460.000000,218.180000
465.000000,224.240000
470.000000,218.180000
475.000000,218.180000
480.000000,224.240000
485.000000,218.180000
490.000000,218.180000
495.000000,218.180000
500.000000,218.180000
505.000000,218.180000
510.000000,224.240000
515.000000,218.180000
520.000000,218.180000
525.000000,224.240000
530.000000,218.180000
535.000000,218.180000
540.000000,218.180000
545.000000,224.240000
550.000000,218.180000
555.000000,218.180000
560.000000,224.240000
565.000000,218.180000
570.000000,218.180000
575.000000,218.180000
580.000000,224.240000
585.000000,218.180000
590.000000,224.240000
595.000000,218.180000
600.000000,218.180000
605.000000,218.180000
610.000000,224.240000
615.000000,218.180000
620.000000,218.180000
625.000000,224.240000
630.000000,218.180000
635.000000,218.180000
640.000000,224.240000
645.000000,218.180000
650.000000,218.180000
655.000000,224.240000
660.000000,218.180000
665.000000,218.180000
670.000000,218.180000
675.000000,224.240000
680.000000,218.180000
685.000000,224.240000
690.000000,218.180000
695.000000,218.180000
700.000000,218.180000
705.000000,224.240000
710.000000,218.180000
715.000000,224.240000
720.000000,218.180000
725.000000,218.180000
730.000000,218.180000
735.000000,224.240000
740.000000,218.180000
745.000000,224.240000
750.000000,218.180000
755.000000,218.180000
760.000000,224.240000
765.000000,218.180000
770.000000,224.240000
775.000000,218.180000
780.000000,218.180000
785.000000,218.180000
790.000000,224.240000
795.000000,224.240000
800.000000,218.180000
805.000000,218.180000
810.000000,218.180000
815.000000,224.240000
820.000000,224.240000
825.000000,218.180000
830.000000,218.180000
835.000000,218.180000
840.000000,224.240000
845.000000,224.240000
850.000000,218.180000
855.000000,218.180000
860.000000,218.180000
865.000000,224.240000
870.000000,218.180000
875.000000,224.240000
880.000000,218.180000
885.000000,218.180000
890.000000,224.240000
895.000000,218.180000
900.000000,224.240000
905.000000,218.180000
910.000000,218.180000
915.000000,224.240000
920.000000,218.180000
925.000000,224.240000
930.000000,218.180000
935.000000,218.180000
940.000000,224.240000
945.000000,218.180000
950.000000,224.240000
955.000000,218.180000
960.000000,218.180000
965.000000,224.240000
970.000000,218.180000
975.000000,224.240000
980.000000,218.180000
985.000000,218.180000
990.000000,224.240000
995.000000,218.180000
1000.000000,224.240000
1005.000000,218.180000
1010.000000,218.180000
1015.000000,224.240000
1020.000000,218.180000
1025.000000,224.240000
1030.000000,218.180000
1035.000000,218.180000
1040.000000,224.240000
1045.000000,218.180000
1050.000000,224.240000
1055.000000,218.180000
1060.000000,218.180000
1065.000000,224.240000
1070.000000,224.240000
1075.000000,218.180000
1080.000000,218.180000
1085.000000,224.240000
1090.000000,224.240000
1095.000000,218.180000
1100.000000,218.180000
1105.000000,224.240000
1110.000000,218.180000
1115.000000,224.240000
1120.000000,218.180000
1125.000000,218.180000
1130.000000,224.240000
1135.000000,224.240000
1140.000000,218.180000
1145.000000,218.180000
1150.000000,224.240000
1155.000000,224.240000
1160.000000,218.180000
1165.000000,218.180000
1170.000000,224.240000
1175.000000,224.240000
1180.000000,218.180000
1185.000000,218.180000
1190.000000,224.240000
1195.000000,218.180000
1200.000000,224.240000
1205.000000,218.180000
1210.000000,224.240000
1215.000000,218.180000
1220.000000,224.240000
1225.000000,218.180000
1230.000000,224.240000
1235.000000,218.180000
1240.000000,224.240000
1245.000000,218.180000
1250.000000,224.240000
1255.000000,218.180000
1260.000000,224.240000
1265.000000,218.180000
1270.000000,218.180000
1275.000000,224.240000
1280.000000,224.240000
1285.000000,218.180000
1290.000000,218.180000
1295.000000,224.240000
1300.000000,224.240000
1305.000000,218.180000
1310.000000,218.180000
1315.000000,224.240000
1320.000000,218.180000
1325.000000,224.240000
1330.000000,218.180000
1335.000000,224.240000
1340.000000,218.180000
1345.000000,224.240000
1350.000000,218.180000
1355.000000,218.180000
1360.000000,224.240000
1365.000000,218.180000
1370.000000,224.240000
